Ticker,Weight
AAPL,0.01
ABNB,0.01
ADBE,0.01
ADI,0.01
ADP,0.01
ADSK,0.01
AEP,0.01
AMAT,0.01
AMGN,0.01
AMZN,0.01
APP,0.01
ARM,0.01
ASML,0.01
AVGO,0.01
AXON,0.01
AZN,0.01
BIIB,0.01
BKNG,0.01
BKR,0.01
CCEP,0.01
CDNS,0.01
CDW,0.01
CEG,0.01
CHTR,0.01
CMCSA,0.01
COST,0.01
CPRT,0.01
CRWD,0.01
CSCO,0.01
CSGP,0.01
CSX,0.01
CTAS,0.01
CTSH,0.01
DASH,0.01
DDOG,0.01
DXCM,0.01
EA,0.01
EXC,0.01
FANG,0.01
FAST,0.01
FTNT,0.01
GEHC,0.01
GFS,0.01
GILD,0.01
GOOGL,0.01
HON,0.01
IDXX,0.01
INTC,0.01
INTU,0.01
ISRG,0.01
KDP,0.01
KHC,0.01
KLAC,0.01
LIN,0.01
LRCX,0.01
LULU,0.01
MAR,0.01
MCHP,0.01
MDLZ,0.01
MELI,0.01
META,0.01
MNST,0.01
MRVL,0.01
MSFT,0.01
MSTR,0.01
MU,0.01
NFLX,0.01
NVDA,0.01
NXPI,0.01
ODFL,0.01
ON,0.01
ORLY,0.01
PANW,0.01
PAYX,0.01
PCAR,0.01
PDD,0.01
PEP,0.01
PLTR,0.01
PYPL,0.01
QCOM,0.01
REGN,0.01
ROP,0.01
ROST,0.01
SBUX,0.01
SHOP,0.01
SNPS,0.01
TEAM,0.01
TMUS,0.01
TRI,0.01
TSLA,0.01
TTD,0.01
TTWO,0.01
TXN,0.01
VRSK,0.01
VRTX,0.01
WBD,0.01
WDAY,0.01
XEL,0.01
ZS,0.01
